numero,entreprise,contact,email,agree,description
1,FTF Senegal,338642575,,,
2,Transnumerik,766209221,paulette.mendy@transnumerik.com,,
3,Optimus Technologies,773989002,T.diop@optimus-te.com,,
4,Solid Informatique,775745342,andiaye@solid-afrique.com,,
5,CBI,775320265,khary.sagna@cbi.sn,,
6,AGILLY,777115788,valery.koffi@agilly.net/bricos.agbeti.ahossi@gmail.com,,
7,PICOMEGA,774544388,commercial@picomegasenegal.com,,
8,SONATEL,774507089,aminta.fall@orange-sonatel.com,,
9,AKM,776384081,etsaboukm.33@gmail.com,,
10,CIS,774093364,ndeye.kandji@cisci.com,,
11,TYSTA Networks,7883755,,,
12,Groupe Univers Telecom,780165764,fatoumata.diaite@universtelecom.net,,
13,XPERBM,778321404,agueye@xperbm.com,,
14,STELLARIX,766235001,adjisoda.gueye@stellar-ix.com,,
15,YAS,766752453,daour.samb@yasbusiness.sn,,
16,SYSROAD,775500121,,,
17,Neurotech,706302415,Bamba.diop@groupeneurotech.com,,
